	1	2.50000 	0.50000 	2.45083 	0.79987 	100.00000
	2	2.45083 	0.50000 	2.40363 	0.78612 	1.96379
	3	2.40363 	0.50000 	2.35834 	0.77179 	1.92030
	4	2.35834 	0.50000 	2.31492 	0.75689 	1.87578
	5	2.31492 	0.50000 	2.27331 	0.74145 	1.83029
	6	2.27331 	0.50000 	2.23347 	0.72547 	1.78392
	7	2.23347 	0.50000 	2.19534 	0.70900 	1.73675
	8	2.19534 	0.50000 	2.15888 	0.69206 	1.68886
	9	2.15888 	0.50000 	2.12404 	0.67469 	1.64036
	10	2.12404 	0.50000 	2.09077 	0.65693 	1.59136
	11	2.09077 	0.50000 	2.05902 	0.63882 	1.54196
	12	2.05902 	0.50000 	2.02874 	0.62041 	1.49227
	13	2.02874 	0.50000 	1.99990 	0.60174 	1.44242
	14	1.99990 	0.50000 	1.97243 	0.58287 	1.39252
	15	1.97243 	0.50000 	1.94630 	0.56385 	1.34270
	16	1.94630 	0.50000 	1.92145 	0.54473 	1.29307
	17	1.92145 	0.50000 	1.89785 	0.52556 	1.24376
	18	1.89785 	0.50000 	1.87544 	0.50641 	1.19488
	19	1.87544 	0.50000 	1.85418 	0.48733 	1.14654
	20	1.85418 	0.50000 	1.83402 	0.46836 	1.09885
	21	1.83402 	0.50000 	1.81493 	0.44956 	1.05191
	22	1.81493 	0.50000 	1.79686 	0.43097 	1.00582
	23	1.79686 	0.50000 	1.77976 	0.41264 	0.96067
	24	1.77976 	0.50000 	1.76360 	0.39462 	0.91652
