	1	2.50000 	1.50000 	1.50000 	-0.03095 	100.00000
	2	2.00000 	1.50000 	2.00000 	0.60181 		25.00000
	3	1.75000 	1.50000 	1.75000 	0.37891 		14.28571
	4	1.62500 	1.50000 	1.62500 	0.20693 		7.69231
	5	1.56250 	1.50000 	1.56250 	0.09796 		4.00000
	6	1.53125 	1.50000 	1.53125 	0.03626 		2.04082
	7	1.51562 	1.50000 	1.51562 	0.00338 		1.03093
	8	1.51562 	1.50781 	1.50781 	-0.01360 	0.51813
	9	1.51562 	1.51172 	1.51172 	-0.00506 	0.25840
	10	1.51562 	1.51367 	1.51367 	-0.00083 	0.12903
	11	1.51465 	1.51367 	1.51465 	0.00128 		0.06447
	12	1.51416 	1.51367 	1.51416 	0.00023 		0.03225
	13	1.51416 	1.51392 	1.51392 	-0.00030 	0.01613
	14	1.51416 	1.51404 	1.51404 	-0.00004 	0.00806
	15	1.51410 	1.51404 	1.51410 	0.00010 		0.00403

